Report Number,Date Reported,Date of Occurance,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date and Time of Case Closed,Case Status,Crime Occurred,Age Group
1,02 January 2020,01 January 2020,01:11:00,Ahmedabad,576,Identity Theft,16,M,Blunt Object,Violent Crime,13,No,,Open,Night,Teenager
2,01 January 2020,01 January 2020,06:26:00,Chennai,128,Homicide,37,M,Poison,Other Crime,9,No,,Open,Morning,Adult
3,02 January 2020,01 January 2020,14:30:00,Ludhiana,271,Kidnapping,48,F,Blunt Object,Other Crime,15,No,,Open,Afternoon,Adult
4,01 January 2020,01 January 2020,14:46:00,Pune,170,Burglary,49,F,Firearm,Other Crime,1,Yes,29-04-2020 05:00,Closed,Afternoon,Adult
5,01 January 2020,01 January 2020,16:51:00,Pune,421,Vandalism,30,F,Other,Other Crime,18,Yes,08-01-2020 21:00,Closed,Evening,Adult
6,02 January 2020,01 January 2020,17:09:00,Delhi,442,Assault,16,M,Firearm,Violent Crime,18,Yes,30-03-2020 03:00,Closed,Evening,Teenager
7,01 January 2020,01 January 2020,14:08:00,Chennai,172,Vehicle - Stolen,64,F,Knife,Violent Crime,13,Yes,24-03-2020 16:00,Closed,Afternoon,Senior Citizen
8,02 January 2020,01 January 2020,06:33:00,Chennai,169,Counterfeiting,78,X,Knife,Other Crime,8,No,,Open,Morning,Senior Citizen
9,04 January 2020,01 January 2020,06:34:00,Mumbai,338,Extortion,41,X,Blunt Object,Other Crime,1,No,,Open,Morning,Adult
10,03 January 2020,01 January 2020,17:50:00,Chennai,497,Public Intoxication,29,M,Knife,Other Crime,4,No,,Open,Evening,Adult
11,02 January 2020,01 January 2020,19:42:00,Delhi,260,Fraud,71,M,Explosives,Other Crime,5,Yes,01-02-2020 13:00,Closed,Evening,Senior Citizen
12,03 January 2020,01 January 2020,22:16:00,Surat,563,Identity Theft,26,M,Poison,Violent Crime,3,No,,Open,Evening,Adult
13,01 January 2020,01 January 2020,23:14:00,Visakhapatnam,498,Fraud,36,F,Poison,Other Crime,3,Yes,29-02-2020 16:00,Closed,Evening,Adult
14,02 January 2020,01 January 2020,17:46:00,Mumbai,436,Assault,32,X,None,Violent Crime,18,No,,Open,Evening,Adult
15,02 January 2020,01 January 2020,22:28:00,Bangalore,266,Sexual Assault,77,F,None,Violent Crime,19,No,,Open,Evening,Senior Citizen
16,02 January 2020,01 January 2020,18:54:00,Kolkata,357,Counterfeiting,51,F,Explosives,Other Crime,16,Yes,30-03-2020 07:00,Closed,Evening,Senior Citizen
17,03 January 2020,01 January 2020,02:57:00,Ghaziabad,509,Drug Offense,61,M,Poison,Other Crime,6,No,,Open,Night,Senior Citizen
18,04 January 2020,01 January 2020,23:09:00,Pune,342,Arson,64,F,Other,Fire Accident,2,No,,Open,Evening,Senior Citizen
19,02 January 2020,01 January 2020,10:42:00,Bangalore,480,Cybercrime,11,M,None,Other Crime,3,Yes,24-01-2020 20:00,Closed,Morning,Child
20,03 January 2020,01 January 2020,18:02:00,Bangalore,369,Extortion,62,F,Blunt Object,Other Crime,2,Yes,05-03-2020 18:00,Closed,Evening,Senior Citizen
21,03 January 2020,01 January 2020,02:33:00,Hyderabad,251,Traffic Violation,50,F,Poison,Traffic Fatality,14,Yes,22-01-2020 22:00,Closed,Night,Adult
22,03 January 2020,01 January 2020,10:11:00,Mumbai,374,Vandalism,64,F,Other,Other Crime,15,Yes,03-03-2020 12:00,Closed,Morning,Senior Citizen
23,02 January 2020,01 January 2020,22:03:00,Jaipur,507,Shoplifting,69,F,Blunt Object,Other Crime,13,No,,Open,Evening,Senior Citizen
24,03 January 2020,01 January 2020,23:40:00,Chennai,322,Vandalism,77,F,Other,Other Crime,18,No,,Open,Evening,Senior Citizen
25,03 January 2020,02 January 2020,20:47:00,Bangalore,527,Drug Offense,18,F,Other,Other Crime,1,No,,Open,Evening,Teenager
26,02 January 2020,02 January 2020,08:21:00,Jaipur,282,Assault,60,M,Firearm,Violent Crime,15,Yes,12-03-2020 16:00,Closed,Morning,Senior Citizen
27,02 January 2020,02 January 2020,04:02:00,Pune,247,Identity Theft,49,M,Blunt Object,Violent Crime,13,No,,Open,Night,Adult
28,02 January 2020,02 January 2020,20:11:00,Lucknow,489,Public Intoxication,41,F,None,Other Crime,7,No,,Open,Evening,Adult
29,04 January 2020,02 January 2020,19:56:00,Bangalore,387,Vandalism,33,F,Explosives,Other Crime,19,No,,Open,Evening,Adult
30,04 January 2020,02 January 2020,09:35:00,Bhopal,517,Burglary,37,F,None,Other Crime,4,No,,Open,Morning,Adult
31,03 January 2020,02 January 2020,13:06:00,Bhopal,570,Homicide,32,F,Explosives,Other Crime,13,No,,Open,Afternoon,Adult
32,04 January 2020,02 January 2020,15:05:00,Hyderabad,222,Vandalism,60,M,Knife,Other Crime,3,Yes,18-03-2020 13:00,Closed,Afternoon,Senior Citizen
33,03 January 2020,02 January 2020,03:01:00,Delhi,319,Illegal Possession,73,F,Knife,Other Crime,19,No,,Open,Night,Senior Citizen
34,05 January 2020,02 January 2020,02:40:00,Patna,575,Vehicle - Stolen,24,F,Explosives,Violent Crime,6,No,,Open,Night,Adult
35,04 January 2020,02 January 2020,22:18:00,Kanpur,341,Vandalism,34,F,Other,Other Crime,14,No,,Open,Evening,Adult
36,04 January 2020,02 January 2020,17:48:00,Chennai,396,Counterfeiting,32,F,Blunt Object,Other Crime,11,No,,Open,Evening,Adult
37,03 January 2020,02 January 2020,00:18:00,Lucknow,187,Sexual Assault,33,F,Blunt Object,Violent Crime,9,Yes,02-07-2020 05:00,Closed,Night,Adult
